Sub_1,Sub_2,Sub_3,Sub_4,Sum,course,school,comb
56,21,25,30,132,enviromental education,Humanities,56 21 25 30 Humanities 132
19,35,44,34,132,enviromental education,Humanities,19 35 44 34 Humanities 132
63,0,38,31,132,enviromental education,Humanities,63 0 38 31 Humanities 132
72,4,26,30,132,enviromental education,Humanities,72 4 26 30 Humanities 132
70,42,7,13,132,enviromental education,Humanities,70 42 7 13 Humanities 132
58,44,24,6,132,enviromental education,Humanities,58 44 24 6 Humanities 132
23,44,33,32,132,enviromental education,Humanities,23 44 33 32 Humanities 132
48,11,25,48,132,enviromental education,Humanities,48 11 25 48 Humanities 132
25,13,48,46,132,enviromental education,Humanities,25 13 48 46 Humanities 132
74,0,48,10,132,enviromental education,Humanities,74 0 48 10 Humanities 132
35,26,23,49,133,enviromental education,Humanities,35 26 23 49 Humanities 133
14,71,36,12,133,enviromental education,Humanities,14 71 36 12 Humanities 133
0,19,35,79,133,enviromental education,Humanities,0 19 35 79 Humanities 133
61,66,1,5,133,enviromental education,Humanities,61 66 1 5 Humanities 133
24,10,6,93,133,enviromental education,Humanities,24 10 6 93 Humanities 133
77,53,2,1,133,enviromental education,Humanities,77 53 2 1 Humanities 133
59,57,7,10,133,enviromental education,Humanities,59 57 7 10 Humanities 133
8,6,60,59,133,enviromental education,Humanities,8 6 60 59 Humanities 133
49,38,21,25,133,enviromental education,Humanities,49 38 21 25 Humanities 133
12,16,54,51,133,enviromental education,Humanities,12 16 54 51 Humanities 133
51,6,36,40,133,enviromental education,Humanities,51 6 36 40 Humanities 133
28,36,36,33,133,enviromental education,Humanities,28 36 36 33 Humanities 133
49,54,11,19,133,enviromental education,Humanities,49 54 11 19 Humanities 133
52,31,22,28,133,enviromental education,Humanities,52 31 22 28 Humanities 133
42,56,21,14,133,enviromental education,Humanities,42 56 21 14 Humanities 133
34,76,6,17,133,enviromental education,Humanities,34 76 6 17 Humanities 133
49,23,41,20,133,enviromental education,Humanities,49 23 41 20 Humanities 133
6,52,34,41,133,enviromental education,Humanities,6 52 34 41 Humanities 133
74,7,13,39,133,enviromental education,Humanities,74 7 13 39 Humanities 133
0,31,10,92,133,enviromental education,Humanities,0 31 10 92 Humanities 133
28,44,12,49,133,enviromental education,Humanities,28 44 12 49 Humanities 133
43,3,5,82,133,enviromental education,Humanities,43 3 5 82 Humanities 133
13,48,17,55,133,enviromental education,Humanities,13 48 17 55 Humanities 133
41,6,21,65,133,enviromental education,Humanities,41 6 21 65 Humanities 133
49,19,14,51,133,enviromental education,Humanities,49 19 14 51 Humanities 133
9,51,4,70,134,enviromental education,Humanities,9 51 4 70 Humanities 134
71,46,8,9,134,enviromental education,Humanities,71 46 8 9 Humanities 134
25,73,16,20,134,enviromental education,Humanities,25 73 16 20 Humanities 134
71,11,35,17,134,enviromental education,Humanities,71 11 35 17 Humanities 134
94,10,21,9,134,enviromental education,Humanities,94 10 21 9 Humanities 134
37,3,50,44,134,enviromental education,Humanities,37 3 50 44 Humanities 134
25,28,23,58,134,enviromental education,Humanities,25 28 23 58 Humanities 134
30,12,1,91,134,enviromental education,Humanities,30 12 1 91 Humanities 134
55,5,58,16,134,enviromental education,Humanities,55 5 58 16 Humanities 134
26,23,16,69,134,enviromental education,Humanities,26 23 16 69 Humanities 134
30,10,18,76,134,enviromental education,Humanities,30 10 18 76 Humanities 134
24,50,2,58,134,enviromental education,Humanities,24 50 2 58 Humanities 134
41,13,70,10,134,enviromental education,Humanities,41 13 70 10 Humanities 134
12,55,48,19,134,enviromental education,Humanities,12 55 48 19 Humanities 134
36,50,20,28,134,enviromental education,Humanities,36 50 20 28 Humanities 134
64,50,20,0,134,enviromental education,Humanities,64 50 20 0 Humanities 134
10,6,76,43,135,enviromental education,Humanities,10 6 76 43 Humanities 135
5,5,36,89,135,enviromental education,Humanities,5 5 36 89 Humanities 135
12,28,8,87,135,enviromental education,Humanities,12 28 8 87 Humanities 135
37,24,18,56,135,enviromental education,Humanities,37 24 18 56 Humanities 135
65,5,9,56,135,enviromental education,Humanities,65 5 9 56 Humanities 135
28,97,10,0,135,enviromental education,Humanities,28 97 10 0 Humanities 135
6,22,18,89,135,enviromental education,Humanities,6 22 18 89 Humanities 135
57,36,30,12,135,enviromental education,Humanities,57 36 30 12 Humanities 135
32,27,37,39,135,enviromental education,Humanities,32 27 37 39 Humanities 135
83,23,19,10,135,enviromental education,Humanities,83 23 19 10 Humanities 135
0,20,90,25,135,enviromental education,Humanities,0 20 90 25 Humanities 135
1,37,72,25,135,enviromental education,Humanities,1 37 72 25 Humanities 135
57,5,35,38,135,enviromental education,Humanities,57 5 35 38 Humanities 135
19,19,16,81,135,enviromental education,Humanities,19 19 16 81 Humanities 135
36,56,10,33,135,enviromental education,Humanities,36 56 10 33 Humanities 135
78,47,3,7,135,enviromental education,Humanities,78 47 3 7 Humanities 135
70,19,23,23,135,enviromental education,Humanities,70 19 23 23 Humanities 135
42,16,1,76,135,enviromental education,Humanities,42 16 1 76 Humanities 135
16,41,25,53,135,enviromental education,Humanities,16 41 25 53 Humanities 135
50,50,4,31,135,enviromental education,Humanities,50 50 4 31 Humanities 135
25,67,20,23,135,enviromental education,Humanities,25 67 20 23 Humanities 135
27,58,21,29,135,enviromental education,Humanities,27 58 21 29 Humanities 135
56,60,6,13,135,enviromental education,Humanities,56 60 6 13 Humanities 135
74,3,28,30,135,enviromental education,Humanities,74 3 28 30 Humanities 135
41,56,29,10,136,educational phychology,Education,41 56 29 10 Education 136
80,36,5,15,136,educational phychology,Education,80 36 5 15 Education 136
0,25,96,15,136,educational phychology,Education,0 25 96 15 Education 136
46,0,66,24,136,educational phychology,Education,46 0 66 24 Education 136
83,8,36,9,136,educational phychology,Education,83 8 36 9 Education 136
72,19,13,32,136,educational phychology,Education,72 19 13 32 Education 136
88,39,6,3,136,educational phychology,Education,88 39 6 3 Education 136
0,50,19,67,136,educational phychology,Education,0 50 19 67 Education 136
99,1,32,4,136,educational phychology,Education,99 1 32 4 Education 136
26,29,19,62,136,educational phychology,Education,26 29 19 62 Education 136
59,63,3,11,136,educational phychology,Education,59 63 3 11 Education 136
26,35,17,58,136,educational phychology,Education,26 35 17 58 Education 136
79,45,4,8,136,educational phychology,Education,79 45 4 8 Education 136
0,57,35,44,136,educational phychology,Education,0 57 35 44 Education 136
38,31,31,36,136,educational phychology,Education,38 31 31 36 Education 136
36,9,22,69,136,educational phychology,Education,36 9 22 69 Education 136
45,13,50,28,136,educational phychology,Education,45 13 50 28 Education 136
19,35,22,60,136,educational phychology,Education,19 35 22 60 Education 136
28,80,12,17,137,educational phychology,Education,28 80 12 17 Education 137
33,56,46,2,137,educational phychology,Education,33 56 46 2 Education 137
11,44,32,50,137,educational phychology,Education,11 44 32 50 Education 137
50,4,49,34,137,educational phychology,Education,50 4 49 34 Education 137
32,76,14,15,137,educational phychology,Education,32 76 14 15 Education 137
28,19,42,48,137,educational phychology,Education,28 19 42 48 Education 137
5,76,9,47,137,educational phychology,Education,5 76 9 47 Education 137
6,28,84,19,137,educational phychology,Education,6 28 84 19 Education 137
3,47,17,70,137,educational phychology,Education,3 47 17 70 Education 137
39,75,7,16,137,educational phychology,Education,39 75 7 16 Education 137
29,35,32,41,137,educational phychology,Education,29 35 32 41 Education 137
50,69,8,10,137,educational phychology,Education,50 69 8 10 Education 137
0,9,41,87,137,educational phychology,Education,0 9 41 87 Education 137
62,52,6,17,137,educational phychology,Education,62 52 6 17 Education 137
0,3,56,78,137,educational phychology,Education,0 3 56 78 Education 137
12,4,82,39,137,educational phychology,Education,12 4 82 39 Education 137
25,27,17,68,137,educational phychology,Education,25 27 17 68 Education 137
55,0,15,67,137,educational phychology,Education,55 0 15 67 Education 137
44,93,0,0,137,educational phychology,Education,44 93 0 0 Education 137
36,21,13,67,137,educational phychology,Education,36 21 13 67 Education 137
27,29,28,53,137,educational phychology,Education,27 29 28 53 Education 137
65,36,25,11,137,educational phychology,Education,65 36 25 11 Education 137
78,25,29,5,137,educational phychology,Education,78 25 29 5 Education 137
15,35,47,41,138,educational phychology,Education,15 35 47 41 Education 138
0,17,84,37,138,educational phychology,Education,0 17 84 37 Education 138
10,39,8,81,138,educational phychology,Education,10 39 8 81 Education 138
58,38,16,26,138,educational phychology,Education,58 38 16 26 Education 138
9,55,35,39,138,educational phychology,Education,9 55 35 39 Education 138
2,70,22,44,138,educational phychology,Education,2 70 22 44 Education 138
52,9,7,70,138,educational phychology,Education,52 9 7 70 Education 138
67,40,18,13,138,educational phychology,Education,67 40 18 13 Education 138
7,40,4,87,138,educational phychology,Education,7 40 4 87 Education 138
35,21,8,74,138,educational phychology,Education,35 21 8 74 Education 138
18,43,47,30,138,educational phychology,Education,18 43 47 30 Education 138
45,65,9,19,138,educational phychology,Education,45 65 9 19 Education 138
38,29,35,36,138,educational phychology,Education,38 29 35 36 Education 138
23,35,26,54,138,educational phychology,Education,23 35 26 54 Education 138
43,55,17,23,138,educational phychology,Education,43 55 17 23 Education 138
51,41,43,3,138,educational phychology,Education,51 41 43 3 Education 138
42,28,33,35,138,educational phychology,Education,42 28 33 35 Education 138
87,34,14,3,138,educational phychology,Education,87 34 14 3 Education 138
90,6,35,7,138,educational phychology,Education,90 6 35 7 Education 138
23,41,31,43,138,educational phychology,Education,23 41 31 43 Education 138
15,20,25,78,138,educational phychology,Education,15 20 25 78 Education 138
86,2,12,38,138,educational phychology,Education,86 2 12 38 Education 138
53,30,32,23,138,educational phychology,Education,53 30 32 23 Education 138
50,51,24,13,138,educational phychology,Education,50 51 24 13 Education 138
58,27,42,11,138,educational phychology,Education,58 27 42 11 Education 138
4,94,1,39,138,educational phychology,Education,4 94 1 39 Education 138
84,11,22,22,139,educational phychology,Education,84 11 22 22 Education 139
23,0,70,46,139,educational phychology,Education,23 0 70 46 Education 139
43,14,61,21,139,educational phychology,Education,43 14 61 21 Education 139
34,46,10,49,139,educational phychology,Education,34 46 10 49 Education 139
46,15,26,52,139,educational phychology,Education,46 15 26 52 Education 139
63,50,8,18,139,educational phychology,Education,63 50 8 18 Education 139
28,10,20,81,139,educational phychology,Education,28 10 20 81 Education 139
22,50,16,51,139,educational phychology,Education,22 50 16 51 Education 139
68,42,19,10,139,educational phychology,Education,68 42 19 10 Education 139
78,2,9,50,139,educational phychology,Education,78 2 9 50 Education 139
21,99,19,0,139,educational phychology,Education,21 99 19 0 Education 139
89,15,20,15,139,educational phychology,Education,89 15 20 15 Education 139
63,17,39,20,139,educational phychology,Education,63 17 39 20 Education 139
84,0,24,31,139,educational phychology,Education,84 0 24 31 Education 139
20,51,36,32,139,educational phychology,Education,20 51 36 32 Education 139
7,51,57,24,139,educational phychology,Education,7 51 57 24 Education 139
11,2,57,69,139,educational phychology,Education,11 2 57 69 Education 139
40,12,27,60,139,educational phychology,Education,40 12 27 60 Education 139
71,0,48,20,139,educational phychology,Education,71 0 48 20 Education 139
7,22,52,58,139,educational phychology,Education,7 22 52 58 Education 139
39,5,1,94,139,educational phychology,Education,39 5 1 94 Education 139
6,41,18,74,139,educational phychology,Education,6 41 18 74 Education 139
0,39,10,90,139,educational phychology,Education,0 39 10 90 Education 139
25,29,45,40,139,educational phychology,Education,25 29 45 40 Education 139
0,28,27,84,139,educational phychology,Education,0 28 27 84 Education 139
65,50,13,11,139,educational phychology,Education,65 50 13 11 Education 139
52,14,42,31,139,educational phychology,Education,52 14 42 31 Education 139
55,29,14,42,140,educational phychology,Education,55 29 14 42 Education 140
38,26,6,70,140,educational phychology,Education,38 26 6 70 Education 140
29,6,83,22,140,educational phychology,Education,29 6 83 22 Education 140
44,32,27,37,140,educational phychology,Education,44 32 27 37 Education 140
50,14,8,68,140,educational phychology,Education,50 14 8 68 Education 140
48,55,15,22,140,educational phychology,Education,48 55 15 22 Education 140
31,63,35,11,140,educational phychology,Education,31 63 35 11 Education 140
24,15,55,46,140,educational phychology,Education,24 15 55 46 Education 140
14,58,42,26,140,educational phychology,Education,14 58 42 26 Education 140
14,65,56,5,140,educational phychology,Education,14 65 56 5 Education 140
13,6,37,84,140,educational phychology,Education,13 6 37 84 Education 140
52,8,24,56,140,educational phychology,Education,52 8 24 56 Education 140
14,30,85,11,140,educational phychology,Education,14 30 85 11 Education 140
40,8,3,89,140,educational phychology,Education,40 8 3 89 Education 140
48,20,44,28,140,educational phychology,Education,48 20 44 28 Education 140
58,66,8,8,140,educational phychology,Education,58 66 8 8 Education 140
20,4,36,80,140,educational phychology,Education,20 4 36 80 Education 140
5,74,5,56,140,educational phychology,Education,5 74 5 56 Education 140
25,69,19,27,140,educational phychology,Education,25 69 19 27 Education 140
77,2,14,47,140,educational phychology,Education,77 2 14 47 Education 140
57,4,27,52,140,educational phychology,Education,57 4 27 52 Education 140
5,25,98,12,140,educational phychology,Education,5 25 98 12 Education 140
37,89,5,9,140,educational phychology,Education,37 89 5 9 Education 140
91,3,45,1,140,educational phychology,Education,91 3 45 1 Education 140
11,64,21,44,140,educational phychology,Education,11 64 21 44 Education 140
50,47,35,8,140,educational phychology,Education,50 47 35 8 Education 140
10,11,23,96,140,educational phychology,Education,10 11 23 96 Education 140
49,73,6,12,140,educational phychology,Education,49 73 6 12 Education 140
71,50,10,9,140,educational phychology,Education,71 50 10 9 Education 140
50,31,44,15,140,educational phychology,Education,50 31 44 15 Education 140
59,50,12,19,140,educational phychology,Education,59 50 12 19 Education 140
87,13,1,39,140,educational phychology,Education,87 13 1 39 Education 140
4,35,6,96,141,records and archives managment,Education,4 35 6 96 Education 141
14,48,16,63,141,records and archives managment,Education,14 48 16 63 Education 141
19,38,11,73,141,records and archives managment,Education,19 38 11 73 Education 141
25,17,80,19,141,records and archives managment,Education,25 17 80 19 Education 141
7,24,15,95,141,records and archives managment,Education,7 24 15 95 Education 141
35,40,4,62,141,records and archives managment,Education,35 40 4 62 Education 141
38,62,29,12,141,records and archives managment,Education,38 62 29 12 Education 141
18,28,4,91,141,records and archives managment,Education,18 28 4 91 Education 141
20,47,58,16,141,records and archives managment,Education,20 47 58 16 Education 141
69,46,12,14,141,records and archives managment,Education,69 46 12 14 Education 141
84,0,28,29,141,records and archives managment,Education,84 0 28 29 Education 141
31,65,19,26,141,records and archives managment,Education,31 65 19 26 Education 141
6,69,10,56,141,records and archives managment,Education,6 69 10 56 Education 141
54,16,70,1,141,records and archives managment,Education,54 16 70 1 Education 141
42,23,21,55,141,records and archives managment,Education,42 23 21 55 Education 141
29,39,41,32,141,records and archives managment,Education,29 39 41 32 Education 141
55,9,4,73,141,records and archives managment,Education,55 9 4 73 Education 141
8,50,82,1,141,records and archives managment,Education,8 50 82 1 Education 141
75,23,3,40,141,records and archives managment,Education,75 23 3 40 Education 141
8,76,14,43,141,records and archives managment,Education,8 76 14 43 Education 141
68,50,10,13,141,records and archives managment,Education,68 50 10 13 Education 141
20,31,30,60,141,records and archives managment,Education,20 31 30 60 Education 141
16,68,14,43,141,records and archives managment,Education,16 68 14 43 Education 141
60,47,4,30,141,records and archives managment,Education,60 47 4 30 Education 141
80,31,8,22,141,records and archives managment,Education,80 31 8 22 Education 141
39,95,6,1,141,records and archives managment,Education,39 95 6 1 Education 141
52,46,21,22,141,records and archives managment,Education,52 46 21 22 Education 141
32,1,13,96,142,records and archives managment,Education,32 1 13 96 Education 142
16,50,21,55,142,records and archives managment,Education,16 50 21 55 Education 142
94,37,11,0,142,records and archives managment,Education,94 37 11 0 Education 142
22,9,89,22,142,records and archives managment,Education,22 9 89 22 Education 142
34,51,7,50,142,records and archives managment,Education,34 51 7 50 Education 142
14,46,1,81,142,records and archives managment,Education,14 46 1 81 Education 142
26,49,10,57,142,records and archives managment,Education,26 49 10 57 Education 142
77,3,51,11,142,records and archives managment,Education,77 3 51 11 Education 142
19,0,90,33,142,records and archives managment,Education,19 0 90 33 Education 142
36,6,19,81,142,records and archives managment,Education,36 6 19 81 Education 142
32,17,70,23,142,records and archives managment,Education,32 17 70 23 Education 142
18,47,58,19,142,records and archives managment,Education,18 47 58 19 Education 142
39,26,26,51,142,records and archives managment,Education,39 26 26 51 Education 142
8,40,30,64,142,records and archives managment,Education,8 40 30 64 Education 142
17,15,12,98,142,records and archives managment,Education,17 15 12 98 Education 142
11,81,20,30,142,records and archives managment,Education,11 81 20 30 Education 142
21,58,29,34,142,records and archives managment,Education,21 58 29 34 Education 142
17,59,37,29,142,records and archives managment,Education,17 59 37 29 Education 142
22,14,60,46,142,records and archives managment,Education,22 14 60 46 Education 142
4,15,47,76,142,records and archives managment,Education,4 15 47 76 Education 142
8,32,64,38,142,records and archives managment,Education,8 32 64 38 Education 142
46,37,9,50,142,records and archives managment,Education,46 37 9 50 Education 142
21,56,39,26,142,records and archives managment,Education,21 56 39 26 Education 142
13,20,53,56,142,records and archives managment,Education,13 20 53 56 Education 142
24,39,26,53,142,records and archives managment,Education,24 39 26 53 Education 142
36,79,1,26,142,records and archives managment,Education,36 79 1 26 Education 142
19,71,24,28,142,records and archives managment,Education,19 71 24 28 Education 142
28,36,0,78,142,records and archives managment,Education,28 36 0 78 Education 142
13,28,44,57,142,records and archives managment,Education,13 28 44 57 Education 142
11,29,36,66,142,records and archives managment,Education,11 29 36 66 Education 142
25,66,15,36,142,records and archives managment,Education,25 66 15 36 Education 142
29,88,6,19,142,records and archives managment,Education,29 88 6 19 Education 142
22,59,26,35,142,records and archives managment,Education,22 59 26 35 Education 142
49,35,14,44,142,records and archives managment,Education,49 35 14 44 Education 142
27,16,41,58,142,records and archives managment,Education,27 16 41 58 Education 142
25,68,11,38,142,records and archives managment,Education,25 68 11 38 Education 142
28,38,67,10,143,records and archives managment,Education,28 38 67 10 Education 143
36,52,1,54,143,records and archives managment,Education,36 52 1 54 Education 143
69,27,42,5,143,records and archives managment,Education,69 27 42 5 Education 143
20,35,38,50,143,records and archives managment,Education,20 35 38 50 Education 143
39,21,67,16,143,records and archives managment,Education,39 21 67 16 Education 143
99,13,22,9,143,records and archives managment,Education,99 13 22 9 Education 143
52,24,16,51,143,records and archives managment,Education,52 24 16 51 Education 143
16,46,39,42,143,records and archives managment,Education,16 46 39 42 Education 143
2,15,50,76,143,records and archives managment,Education,2 15 50 76 Education 143
59,48,14,22,143,records and archives managment,Education,59 48 14 22 Education 143
0,55,24,64,143,records and archives managment,Education,0 55 24 64 Education 143
17,15,23,88,143,records and archives managment,Education,17 15 23 88 Education 143
9,12,40,82,143,records and archives managment,Education,9 12 40 82 Education 143
42,25,6,70,143,records and archives managment,Education,42 25 6 70 Education 143
25,81,16,21,143,records and archives managment,Education,25 81 16 21 Education 143
8,38,35,62,143,records and archives managment,Education,8 38 35 62 Education 143
9,99,19,16,143,records and archives managment,Education,9 99 19 16 Education 143
37,81,14,11,143,records and archives managment,Education,37 81 14 11 Education 143
45,51,29,18,143,records and archives managment,Education,45 51 29 18 Education 143
86,17,40,0,143,records and archives managment,Education,86 17 40 0 Education 143
2,17,26,98,143,records and archives managment,Education,2 17 26 98 Education 143
50,9,6,78,143,records and archives managment,Education,50 9 6 78 Education 143
38,11,38,56,143,records and archives managment,Education,38 11 38 56 Education 143
58,12,15,59,144,records and archives managment,Education,58 12 15 59 Education 144
0,47,48,49,144,records and archives managment,Education,0 47 48 49 Education 144
94,4,37,9,144,records and archives managment,Education,94 4 37 9 Education 144
14,17,18,95,144,records and archives managment,Education,14 17 18 95 Education 144
100,9,35,0,144,records and archives managment,Education,100 9 35 0 Education 144
18,60,31,35,144,records and archives managment,Education,18 60 31 35 Education 144
32,14,43,55,144,records and archives managment,Education,32 14 43 55 Education 144
10,75,21,38,144,records and archives managment,Education,10 75 21 38 Education 144
21,35,33,55,144,records and archives managment,Education,21 35 33 55 Education 144
3,89,14,38,144,records and archives managment,Education,3 89 14 38 Education 144
8,7,69,60,144,records and archives managment,Education,8 7 69 60 Education 144
50,77,10,7,144,records and archives managment,Education,50 77 10 7 Education 144
36,67,29,12,144,records and archives managment,Education,36 67 29 12 Education 144
44,44,53,3,144,records and archives managment,Education,44 44 53 3 Education 144
9,63,49,23,144,records and archives managment,Education,9 63 49 23 Education 144
10,77,52,5,144,records and archives managment,Education,10 77 52 5 Education 144
23,44,34,43,144,records and archives managment,Education,23 44 34 43 Education 144
64,60,14,6,144,records and archives managment,Education,64 60 14 6 Education 144
39,61,6,38,144,records and archives managment,Education,39 61 6 38 Education 144
89,48,2,5,144,records and archives managment,Education,89 48 2 5 Education 144
69,70,3,2,144,records and archives managment,Education,69 70 3 2 Education 144
26,48,48,22,144,records and archives managment,Education,26 48 48 22 Education 144
11,99,7,27,144,records and archives managment,Education,11 99 7 27 Education 144
69,5,32,39,145,records and archives managment,Education,69 5 32 39 Education 145
28,53,13,51,145,records and archives managment,Education,28 53 13 51 Education 145
60,55,30,0,145,records and archives managment,Education,60 55 30 0 Education 145
31,50,63,1,145,records and archives managment,Education,31 50 63 1 Education 145
50,23,52,20,145,records and archives managment,Education,50 23 52 20 Education 145
50,55,14,26,145,records and archives managment,Education,50 55 14 26 Education 145
6,13,31,95,145,records and archives managment,Education,6 13 31 95 Education 145
9,9,50,77,145,records and archives managment,Education,9 9 50 77 Education 145
52,26,6,61,145,records and archives managment,Education,52 26 6 61 Education 145
18,6,58,63,145,records and archives managment,Education,18 6 58 63 Education 145
53,37,16,39,145,records and archives managment,Education,53 37 16 39 Education 145
0,2,57,86,145,records and archives managment,Education,0 2 57 86 Education 145
55,10,22,58,145,records and archives managment,Education,55 10 22 58 Education 145
39,45,53,8,145,records and archives managment,Education,39 45 53 8 Education 145
45,6,61,33,145,records and archives managment,Education,45 6 61 33 Education 145
78,2,65,0,145,records and archives managment,Education,78 2 65 0 Education 145
76,20,19,30,145,records and archives managment,Education,76 20 19 30 Education 145
32,88,19,6,145,records and archives managment,Education,32 88 19 6 Education 145
29,31,24,61,145,records and archives managment,Education,29 31 24 61 Education 145
8,38,22,77,145,records and archives managment,Education,8 38 22 77 Education 145
30,21,20,74,145,records and archives managment,Education,30 21 20 74 Education 145
33,12,24,76,145,records and archives managment,Education,33 12 24 76 Education 145
62,34,14,35,145,records and archives managment,Education,62 34 14 35 Education 145
5,28,49,63,145,records and archives managment,Education,5 28 49 63 Education 145
88,10,35,12,145,records and archives managment,Education,88 10 35 12 Education 145
50,20,3,72,145,records and archives managment,Education,50 20 3 72 Education 145
38,40,4,63,145,records and archives managment,Education,38 40 4 63 Education 145
79,35,21,10,145,records and archives managment,Education,79 35 21 10 Education 145
21,16,20,88,145,records and archives managment,Education,21 16 20 88 Education 145
69,18,34,24,145,records and archives managment,Education,69 18 34 24 Education 145
58,70,8,10,146,library and information studies,Education,58 70 8 10 Education 146
74,0,56,16,146,library and information studies,Education,74 0 56 16 Education 146
17,74,53,2,146,library and information studies,Education,17 74 53 2 Education 146
12,31,55,48,146,library and information studies,Education,12 31 55 48 Education 146
35,17,1,93,146,library and information studies,Education,35 17 1 93 Education 146
46,21,14,65,146,library and information studies,Education,46 21 14 65 Education 146
62,11,61,12,146,library and information studies,Education,62 11 61 12 Education 146
24,23,4,95,146,library and information studies,Education,24 23 4 95 Education 146
82,14,25,25,146,library and information studies,Education,82 14 25 25 Education 146
6,72,38,30,146,library and information studies,Education,6 72 38 30 Education 146
81,17,15,33,146,library and information studies,Education,81 17 15 33 Education 146
0,0,58,88,146,library and information studies,Education,0 0 58 88 Education 146
42,34,18,52,146,library and information studies,Education,42 34 18 52 Education 146
38,29,79,0,146,library and information studies,Education,38 29 79 0 Education 146
100,0,23,23,146,library and information studies,Education,100 0 23 23 Education 146
75,27,17,27,146,library and information studies,Education,75 27 17 27 Education 146
48,3,76,19,146,library and information studies,Education,48 3 76 19 Education 146
26,72,22,26,146,library and information studies,Education,26 72 22 26 Education 146
0,48,63,35,146,library and information studies,Education,0 48 63 35 Education 146
34,50,6,56,146,library and information studies,Education,34 50 6 56 Education 146
71,65,8,2,146,library and information studies,Education,71 65 8 2 Education 146
13,28,7,98,146,library and information studies,Education,13 28 7 98 Education 146
59,30,12,45,146,library and information studies,Education,59 30 12 45 Education 146
14,53,35,44,146,library and information studies,Education,14 53 35 44 Education 146
38,41,4,63,146,library and information studies,Education,38 41 4 63 Education 146
14,31,14,87,146,library and information studies,Education,14 31 14 87 Education 146
23,10,50,63,146,library and information studies,Education,23 10 50 63 Education 146
35,27,21,63,146,library and information studies,Education,35 27 21 63 Education 146
10,58,17,61,146,library and information studies,Education,10 58 17 61 Education 146
46,13,12,75,146,library and information studies,Education,46 13 12 75 Education 146
20,86,22,18,146,library and information studies,Education,20 86 22 18 Education 146
7,51,10,79,147,library and information studies,Education,7 51 10 79 Education 147
37,42,64,4,147,library and information studies,Education,37 42 64 4 Education 147
9,68,27,43,147,library and information studies,Education,9 68 27 43 Education 147
6,17,51,73,147,library and information studies,Education,6 17 51 73 Education 147
0,48,7,92,147,library and information studies,Education,0 48 7 92 Education 147
63,17,13,54,147,library and information studies,Education,63 17 13 54 Education 147
30,23,23,71,147,library and information studies,Education,30 23 23 71 Education 147
66,33,3,45,147,library and information studies,Education,66 33 3 45 Education 147
23,41,41,42,147,library and information studies,Education,23 41 41 42 Education 147
39,26,23,59,147,library and information studies,Education,39 26 23 59 Education 147
34,1,25,87,147,library and information studies,Education,34 1 25 87 Education 147
44,9,35,59,147,library and information studies,Education,44 9 35 59 Education 147
6,73,36,32,147,library and information studies,Education,6 73 36 32 Education 147
51,30,10,56,147,library and information studies,Education,51 30 10 56 Education 147
54,2,2,89,147,library and information studies,Education,54 2 2 89 Education 147
19,55,65,8,147,library and information studies,Education,19 55 65 8 Education 147
40,92,11,4,147,library and information studies,Education,40 92 11 4 Education 147
0,45,35,67,147,library and information studies,Education,0 45 35 67 Education 147
29,49,22,48,148,library and information studies,Education,29 49 22 48 Education 148
13,50,42,43,148,library and information studies,Education,13 50 42 43 Education 148
10,76,41,21,148,library and information studies,Education,10 76 41 21 Education 148
73,28,42,5,148,library and information studies,Education,73 28 42 5 Education 148
46,94,7,1,148,library and information studies,Education,46 94 7 1 Education 148
9,24,98,17,148,library and information studies,Education,9 24 98 17 Education 148
21,26,40,61,148,library and information studies,Education,21 26 40 61 Education 148
85,3,39,21,148,library and information studies,Education,85 3 39 21 Education 148
56,8,20,64,148,library and information studies,Education,56 8 20 64 Education 148
6,86,51,5,148,library and information studies,Education,6 86 51 5 Education 148
32,50,62,4,148,library and information studies,Education,32 50 62 4 Education 148
16,47,13,72,148,library and information studies,Education,16 47 13 72 Education 148
95,3,23,27,148,library and information studies,Education,95 3 23 27 Education 148
66,5,31,46,148,library and information studies,Education,66 5 31 46 Education 148
14,4,49,81,148,library and information studies,Education,14 4 49 81 Education 148
27,20,64,37,148,library and information studies,Education,27 20 64 37 Education 148
15,32,3,98,148,library and information studies,Education,15 32 3 98 Education 148
16,9,55,68,148,library and information studies,Education,16 9 55 68 Education 148
71,21,37,19,148,library and information studies,Education,71 21 37 19 Education 148
40,31,13,64,148,library and information studies,Education,40 31 13 64 Education 148
17,37,2,92,148,library and information studies,Education,17 37 2 92 Education 148
39,44,31,34,148,library and information studies,Education,39 44 31 34 Education 148
58,2,1,87,148,library and information studies,Education,58 2 1 87 Education 148
45,66,37,0,148,library and information studies,Education,45 66 37 0 Education 148
9,7,71,61,148,library and information studies,Education,9 7 71 61 Education 148
13,30,42,63,148,library and information studies,Education,13 30 42 63 Education 148
9,49,26,65,149,library and information studies,Education,9 49 26 65 Education 149
86,4,53,6,149,library and information studies,Education,86 4 53 6 Education 149
5,91,2,51,149,library and information studies,Education,5 91 2 51 Education 149
22,18,53,56,149,library and information studies,Education,22 18 53 56 Education 149
51,10,19,69,149,library and information studies,Education,51 10 19 69 Education 149
67,32,9,41,149,library and information studies,Education,67 32 9 41 Education 149
24,44,35,46,149,library and information studies,Education,24 44 35 46 Education 149
